age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
47,f,3,3,4,3,3,3,2,3,3,4,3,3,3,3,4,3,3,2,3,3,4,4,3,3
41,m,4,4,5,2,4,4,2,4,2,2,4,4,4,4,2,2,4,4,2,4,2,2,4,2
48,m,2,2,2,4,2,2,4,2,2,4,4,2,2,2,2,4,2,2,2,2,4,4,2,2
21,f,2,3,4,3,4,4,3,4,3,4,3,4,4,5,4,2,4,4,4,4,2,4,4,4
48,m,2,2,2,2,4,3,4,4,2,4,4,3,2,2,2,2,4,3,4,4,2,4,4,3
44,m,2,4,3,2,4,3,3,4,4,3,3,3,2,2,2,3,4,3,3,3,4,3,3,3
42,m,4,4,3,2,4,3,3,4,3,4,4,4,3,3,3,2,4,3,3,4,3,4,4,4
50,m,3,4,4,2,4,3,2,4,3,2,4,3,3,4,4,3,3,4,4,4,3,3,4,4
38,m,1,4,4,3,4,3,4,4,3,4,4,3,1,4,3,3,4,3,4,4,3,4,3,2
31,m,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2
46,m,2,4,4,2,4,3,5,4,1,2,4,3,4,4,5,2,4,4,5,4,2,3,4,3
46,f,1,1,1,2,4,4,5,4,1,4,4,3,1,1,3,2,4,4,4,4,2,4,4,4
64,m,2,2,2,3,4,3,4,4,4,4,4,2,2,2,2,2,4,2,4,4,3,4,4,2
39,m,3,4,4,3,4,3,3,3,2,3,4,3,3,4,4,3,4,3,3,3,2,3,3,3
40,m,3,2,2,3,4,4,2,3,1,2,4,4,2,3,4,3,4,4,3,2,3,3,4,3
74,m,4,4,4,3,3,2,3,3,4,3,4,2,4,4,4,3,3,2,3,3,4,3,2,2
55,m,4,4,4,2,4,3,4,4,2,3,3,3,4,4,4,2,4,4,4,4,2,3,4,3
47,m,3,4,4,1,4,4,4,4,1,4,4,2,3,3,3,2,4,3,4,3,3,4,3,2
52,m,2,2,2,2,4,3,4,4,3,4,4,3,2,2,2,2,4,3,4,4,3,4,4,3
42,m,3,4,3,3,3,2,4,4,3,4,3,2,3,4,2,3,2,2,4,4,3,4,2,2
44,m,2,3,2,2,4,3,4,4,2,4,4,3,2,2,2,2,4,3,4,4,2,4,4,2
61,m,3,5,4,2,4,4,3,4,4,4,4,3,3,4,4,2,4,4,3,4,4,4,4,3
66,m,3,4,3,2,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2,4,3,2
39,m,4,5,4,3,4,3,4,4,2,4,4,3,4,4,4,2,4,3,4,4,2,4,4,3
53,m,4,4,4,2,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,3,3,4,4
62,m,3,4,3,3,4,3,4,3,3,4,3,3,3,4,4,3,3,3,4,4,3,4,3,3
